"site_id","entity_id","year_BP","mineralogy","d18O_measurement","d13C_measurement","d18O_dweq","d13C_dweq","TEMP","PREC","ISOT","ITIF","EVAP"
"139","294","418.96","calcite","-8.725","-3.139","-11.0958701362841","-3.139","11.1480737765917","445.461368996927","-6.9959050143462","-7.99544162254327","379.537271190877"
"139","294","421.24","calcite","-8.808","-3.272","-11.1782240029971","-3.272","11.1637183281942","431.458061761646","-6.60574005431903","-8.11361220712255","445.347856788118"
"139","294","423.52","calcite","-8.72","-3.076","-11.0956329753782","-3.076","11.1241296277129","551.256253963921","-6.81259305970757","-7.62668265235919","460.56448276242"
"139","294","425.8","calcite","-8.939","-3.514","-11.2603628044198","-3.514","11.42164155939","433.615485046519","-6.96951155356792","-8.10352844274299","430.736101511468"
"139","294","428.08","calcite","-8.719","-3.329","-11.2282170733583","-3.329","10.4750673285443","445.681135399601","-7.03456154696691","-8.43885099716211","410.538154941736"
"139","294","430.36","calcite","-8.825","-3.351","-10.9597774201737","-3.351","12.3176090871507","405.03590453367","-7.573877159952","-7.8549528840325","397.23330614888"
"139","294","432.64","calcite","-8.725","-3.298","-10.9957286963261","-3.298","11.6365645944393","388.077478059006","-6.22778966248462","-7.93965272620967","354.099732616317"
"139","294","434.92","calcite","-8.832","-3.52","-11.1913412226902","-3.52","11.2203447371813","404.533721663801","-6.76605594003178","-7.73729337306188","405.765605399718"
"139","294","437.2","calcite","-8.834","-3.44","-11.0815333380186","-3.44","11.7664338678866","454.887599116183","-7.16263465976869","-8.30742659515333","434.936102439076"
"139","294","439.48","calcite","-8.792","-3.489","-11.085438352434","-3.489","11.5357548905417","307.072658606746","-7.1327598173021","-7.39531435307261","342.773387216392"
"139","294","441.76","calcite","-8.852","-3.492","-11.2185693202111","-3.492","11.1881451595692","349.994561563146","-7.25358172873446","-8.24008500959786","331.888500698508"
"139","294","444.04","calcite","-8.846","-3.499","-11.2424099862961","-3.499","11.0419623691881","443.857119266943","-7.53089533474792","-8.31122394209565","403.529011315008"
"139","294","446.32","calcite","-8.809","-3.571","-11.1911554798479","-3.571","11.1057723164602","346.932915487111","-7.04235500435533","-8.68323377777391","343.152813197083"
"139","294","448.6","calcite","-8.908","-3.694","-11.2481491087169","-3.694","11.3253388125222","327.287012081571","-7.30718871247391","-8.69536477427506","340.214093412859"
"139","294","450.88","calcite","-8.837","-3.608","-11.3342279018348","-3.608","10.5508776263755","383.270403578083","-7.32846243130328","-7.99508529298295","373.067032483635"
"139","294","453.16","calcite","-8.882","-3.424","-11.1540211916788","-3.424","11.6539707099679","326.16491622858","-6.31414200103923","-7.57349278588915","371.821562887596"
